"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"290","F",2,1,5,9,9,9,9,0.40297,0,0,1,2,2,1,0,-2,0,0,-2,0.25,0.5,0.5,1,0,1,1,5,5,5,5,5,3,3,3,1,0,NA,1,2,2,2,3,1,3,NA
"291","M",1,2,8,1,1,2,2,0.50953,1,0,2,3,3,3,2,1,0,1,4,0.875,0.5,0.75,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,2,1,2,1
"292","F",2,1,2,1,1,2,2,1.09724,0,0,1,1,2,1,0,0,-1,0,-1,0.5,0.25,0.5,1,0,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"293","M",1,1,1,1,1,2,3,0.86128,0,0,1,1,2,1,1,2,1,2,6,0.875,0.75,1,1,1,1,0,1,1,1,1,5,1,1,1,1,1,3,1,1,2,1,2,2,2,1
"294","F",2,2,12,2,9,1,1,0.40297,1,1,3,4,4,5,1,2,-1,2,4,0.875,0.25,1,1,0,1,1,1,1,1,1,5,2,3,2,3,0,1,1,1,3,3,1,3,2,NA
"295","F",2,1,5,1,2,2,2,0.78523,0,0,1,2,3,2,0,0,1,1,2,0.5,0.75,0.75,1,0,1,0,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"296","F",2,1,2,1,2,2,2,0.46454,0,0,1,1,2,1,-1,1,-1,1,0,0.5,0.25,0.75,1,0,1,1,3,3,1,3,1,1,2,1,1,0,2,1,2,3,2,3,1,2,NA
"297","F",1,1,8,1,1,1,2,0.55166,0,0,3,3,4,5,-2,-2,-2,2,-4,0,0,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2
"298","F",2,1,5,1,1,2,3,0.98005,0,0,1,2,1,1,-1,1,-2,-2,-4,0.5,0,0,1,0,0,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,1,1,1,3
"299","M",1,2,12,9,9,9,1,1.91938,1,0,3,4,4,5,1,1,0,2,4,0.75,0.5,1,1,1,0,0,5,5,5,5,5,3,3,3,4,0,1,1,1,3,3,2,1,1,2
"300","M",2,1,9,1,1,9,1,2.32096,0,0,1,3,2,1,-1,0,1,1,1,0.375,0.75,0.75,1,0,0,0,1,1,1,1,5,1,1,3,1,1,1,1,1,1,2,2,1,3,NA
"301","F",2,1,2,1,1,2,3,0.31537,0,0,3,1,1,4,-2,0,0,2,0,0.25,0.5,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"302","F",2,2,9,1,1,1,3,0.78523,1,1,3,3,4,5,2,2,1,2,7,1,0.75,1,1,0,1,0,1,1,1,1,5,1,1,2,3,0,3,1,2,2,2,2,2,1,2
"303","F",2,1,5,2,2,2,2,12.67473,0,1,2,2,4,3,0,1,1,1,3,0.625,0.75,0.75,0,0,0,0,3,3,2,3,2,2,2,1,3,0,2,3,3,2,2,2,1,2,1
"304","F",2,2,10,2,9,1,1,0.50979,1,1,3,5,5,5,1,1,1,2,5,0.75,0.75,1,0,0,1,1,2,2,2,2,5,2,3,2,2,0,1,3,3,3,3,1,2,1,4
"305","F",1,2,10,2,9,1,2,1.89379,1,1,3,5,5,5,-1,0,1,2,2,0.375,0.75,1,0,1,1,0,2,2,2,2,5,2,3,2,2,0,2,2,3,3,3,1,2,1,4
"306","M",1,2,9,1,1,9,1,1.50212,1,0,3,3,3,4,-2,-1,1,2,0,0.125,0.75,1,1,1,0,0,1,1,1,1,5,1,1,3,1,1,1,NA,1,3,3,1,3,3,NA
"307","F",2,1,5,1,1,9,9,0.64463,0,0,1,2,3,2,1,1,-1,0,1,0.75,0.25,0.5,1,0,0,1,1,1,1,1,3,1,1,3,1,1,NA,NA,1,2,2,2,3,3,NA
"308","M",1,1,5,1,2,2,3,1.58345,0,0,1,2,1,1,-1,-1,0,0,-2,0.25,0.5,0.5,1,1,0,0,1,1,1,1,3,1,2,1,1,1,3,1,1,3,1,2,1,2,1
"309","M",2,1,8,1,1,2,1,0.46454,0,0,1,3,2,1,1,0,0,-1,0,0.625,0.5,0.25,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,3,1,2,1,4
"310","M",1,2,9,1,1,1,2,0.48336,1,0,3,3,4,5,1,-2,0,2,1,0.375,0.5,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,2,1,1,3,3,1,1,2,3
"311","F",2,1,9,1,1,2,3,0.6478,0,0,1,3,3,2,0,-1,0,2,1,0.375,0.5,1,1,0,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"312","F",2,1,1,1,1,2,2,0.28926,0,0,1,1,3,2,-1,-1,0,2,0,0.25,0.5,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,2,1,1,2,3
"313","F",1,1,9,1,1,2,3,0.36464,0,0,2,3,3,3,-2,-1,0,2,-1,0.125,0.5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,3,NA
"314","F",1,1,5,1,1,2,2,0.36464,0,0,1,2,1,1,-1,-1,-2,2,-2,0.25,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"315","F",2,1,5,1,2,2,2,0.90521,0,0,2,2,3,3,0,-1,-1,2,0,0.375,0.25,1,1,0,1,0,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
